"value","pinyin","english_definition","hsk_level"
"饭","fàn","food, meal, repast, cooked rice or other cereals, dinner","1"
"饭店","fàndiàn","restraurant, restaurant, hotel","1"
"房间","fángjiān","apartment, aspect, houseroom, room, chamber, bedroom","1"
"房子","fángzi","building (of less than three stories), room, building, property, house","1"
"放","fàng","loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus","1"
"放假","fàng jià","have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation","1"
"飞","fēi","hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit","1"
"放学","fàng xué","have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)","1"
"飞机","fēijī","aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft","1"
"非常","fēicháng","extraordinary, unusual, special, very, extremely, highly","1"
"分","fēn","m.[general]","1"
"风","fēng","wind, common practice, custom, general mood, style, news, information","1"
"干","gàn","do, work, fight","1"
"干净","gānjìng","clean, clear","1"
"高兴","gāoxìng","glad, happy, cheerful, merry, pleased","1"
"高","gāo","tall, high","1"
"告诉","gàosu","tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know","1"
"哥哥","gēge","big brother, elder brother, big_brother","1"
"歌","gē","song","1"
"干什么","gànshénme","do something","1"
"个","gè","piece, item","1"
"给","gěi","give, give to","1"
"跟","gēn","with, to, from","1"
"工人","gōngren","navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand","1"
"工作","gōngzuò","work, job","1"
"关","guān","shut, close, turn off, lock up, close down","1"
"关上","guānshàng","to close (a door), to turn off (light, electrical equipment etc)","1"
"国","guó","surname Guo, country, nation, state, national, CL:個|个[ge4]","1"
"国家","guójiā","sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica","1"
"贵","guì","expensive, costly, highly valued","1"
"国外","guówài","overseas","1"
"还是","háishi","still, nevertheless","1"
"孩子","háizi","kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son","1"
"还有","háiyǒu","conj.: furthermore, in addition","1"
"过","guò","[aspect]","1"
"汉语","Hànyǔ","Chinese language, CL:門|门[men2]","1"
"还","hái","still, yet, also, too, as well, besides","1"
"汉字","Hànzì","Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự","1"
"好","hǎo","good","1"
"好吃","hǎochī","delicious, good to eat, tasty, enjoy eating good food, gluttonous","1"
"好看","hǎokàn","embarrassed, interesting, nice, good-looking, delightful","1"
"好听","hǎotīng","pleasant to hear","1"
"好玩儿","hǎowánr","interesting, delightful, amusing","1"
"号","hào","m.[general]","1"
"喝","hē","drink","1"
"和","hé","and, with, gentle, peaceful","1"
"很","hěn","pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly","1"
"后","hòu","rear, back, behind","1"
"后边","hòubian","back, rear, behind","1"
"话","huà","words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word","1"
"后天","hòutiān","the day after tomorrow, post-natal, acquired (not innate), a posteriori","1"
"坏","huài","spoiled","1"
"回答","huídá","answer, reply","1"
"回","huí","return, go back","1"
"花","huā","spend, expend, cost","1"
"回到","huídào","remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to","1"
"回家","huí jiā","return home","1"
"回去","huí  qu","go_home, go_back, retrocede, go back, be back, go, return","1"
"回来","huí lai","come back, get_back, recur, revisit, come, return, be back, come_back","1"
"会","huì","to be able, can, will, to meet","1"
"火车","huǒchē","choo-choo, railroad train, car train, marshalling_yard, puff-puff, train","1"
"机场","jīchǎng","landing field, flying field, airfield, airport, airdrome, field, aerodrome","1"
"鸡蛋","jīdàn","(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]","1"
"机票","jīpiào","air ticket, passenger ticket, CL:張|张[zhang1]","1"
"几","jǐ","det.: how many, a few, several, some","1"
"记得","jì de","come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind","1"
"记住","jì zhu","to remember, to bear in mind, to learn by heart","1"
"家","jiā","family, household, home, house","1"
"记","jì","write down, record","1"
"家里","jiālǐ","home","1"
"见面","jiàn miàn","meet, see","1"
"教","jiào","teach","1"
"家人","jiārén","relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house","1"
"间","jiān","locality, room","1"
"见","jiàn","see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet","1"
"叫","jiào","to be called","1"
"教学楼","jiàoxuélóu","teaching block, school building","1"
"介绍","jièshào","introduce, present, recommend, suggest, let know, brief","1"
"今年","jīnnián","this year","1"
"姐姐","jiějie","sis, big_sister, elder sister, sister","1"
"今天","jīntiān","today, at the present, now","1"
"进","jìn","enter, come/go into, advance","1"
"进来","jìn lai","come in, enter","1"
"进去","jìn qu","enter, entry, go_in, get in, go in","1"
"就","jiù","then, at once, right away, an indicator strengthening speaker's evaluation","1"
"觉得","juéde","imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive","1"
"九","jiǔ","det.: nine","1"
"开","kāi","open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal","1"
"开车","kāi chē","to drive a car","1"
"开会","kāi huì","hold/attend meeting","1"
"开玩笑","kāi wánxiào","kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke","1"
"看","kàn","see, look at, watch, read, look upon, regard, look after, call on, visit","1"
"看病","kàn bìng","to visit a doctor, to see a patient","1"
"看到","kàn dào","view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of","1"
"考","kǎo","study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check","1"
"看见","kàn jian","seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of","1"
"考试","kǎoshì","examination, test","1"
"渴","kě","thirsty","1"
"课","kè","subject, course, class","1"
"课本","kèběn","text edition, textbook, text, school text, schoolbook","1"
"课文","kèwén","text, CL:篇[pian1]","1"
"口","kǒu","m.[general]","1"
"块","kuài","m.[general]","1"
"快","kuài","fast, quick, quick-witted, ingenious, sharp (of knives), straightforward","1"
"来","lái","to","1"
"来到","láidào","arrive, come","1"
"老","lǎo","old, aged;of long standing, outdated, tough, overgrown, dark (of colors)","1"
"老人","lǎoren","oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents","1"
"老师","lǎoshī","rabbi, professor, swami, instructor, teacher, mast","1"
"了","le","entirely","1"
"累","lèi","tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out","1"
"冷","lěng","cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange","1"
"里","lǐ","inside","1"
"里边","lǐbian","inside","1"
"两","liǎng","det.: two, both (sides), either (side), a few, some","1"
"零","líng","det.: zero, naught, nil","1"
"六","liù","det.: six","1"
"楼","lóu","storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building","1"
"楼上","lóushàng","upstairs","1"
"楼下","lóuxià","downstairs","1"
"路口","lùkǒu","crossing, intersection (of roads)","1"
"路上","lùshang","on the road, on a journey, road surface","1"
"妈妈","māma","mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma","1"
"马路","mǎlù","drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic","1"
"路","lù","road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class","1"
"马上","mǎshàng","in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f","1"
"买","mǎi","pick up, invest, hire, buy, purchase, put_down, trade, get","1"
"吗","ma","particle: calling for agreement or disagreement","1"
"慢","màn","tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate","1"
"忙","máng","hurry, hasten","1"
"毛","máo","Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking","1"
"没","méi","not","1"
"没关系","méiguānxi","it doesn't matter, never mind","1"
"没什么","méishénme","nothing, it doesn't matter, it's nothing, never mind","1"
"没有","méiyou","not have, there is not, be without","1"
"没事儿","méishìr","to have spare time, free from work, it's not important, it's nothing, never mind","1"
"妹妹","mèimei","little_sister, sis, younger sister, little sister, sister","1"
"门","mén","door, gate","1"
"门口","ménkǒu","porch, portal, doorway, gateway, threshold, room access, door, entering, entrance","1"
"门票","ménpiào","entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance","1"
"米饭","mǐfàn","(cooked) rice","1"
"们","men","pluralizer after pronouns and nouns of persons","1"
"面包","miànbāo","bun, staff of life, cookie, breadstuff, bread","1"
"面条儿","miàntiáor","noodles, erhua variant of 麵條|面条[mian4 tiao2]","1"
"名字","míngzi","first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation","1"
"明白","míngbai","clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization","1"
"明年","míngnián","next year","1"
"明天","míngtiān","tomorrow","1"
"哪","nǎ","det.: which","1"
"哪里","nǎli","where","1"
"哪儿","nǎr","where","1"
"哪些","nǎxiē","det.: which","1"
"拿","ná","take, hold, seize, capture","1"
"那边","nàbian","beyond, that side, there","1"
"那","nà","det.: that","1"
"那里","nàlǐ","that place","1"
"那些","nàxiē","det.: those","1"
"奶","nǎi","breasts, milk","1"
"那儿","nàr","that place","1"
"奶奶","nǎinai","nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother","1"
"男孩儿","nánháir","boy, erhua variant of 男孩[nan2 hai2]","1"
"男朋友","nánpéngyou","boyfriend","1"
"男","nán","baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son","1"
"男生","nánshēng","brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student","1"
"南","nán","Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern","1"
"男人","nánren","male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella","1"
"南边","nánbian","south, south side, southern part, to the south of","1"
"呢","ne","particle: marking quesitons about subject already mentioned; indicating strong affirmation","1"
"难","nán","make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame","1"
"你","nǐ","you","1"
"能","néng","can or to be capable of","1"
"你们","nǐmen","you, you (plural), you-all","1"
"您","nín","you","1"
"牛奶","niúnǎi","cow's milk","1"
"女","nǚ","girl, female, woman, neodymium, hen, daughter, beaver, creature","1"
"年","nián","year","1"
"女孩儿","nǚháir","girl, erhua variant of 女孩[nu:3 hai2]","1"
"女儿","nǚér","daughter, girl","1"
"女生","nǚshēng","schoolgirl, girl student, female student, female, girl, woman student, co-ed","1"
"女朋友","nǚpéngyou","jane, girl, girl friend, lady friend, girlfriend, amie","1"
"旁边","pángbiān","by the side of, side, adjacency, near by","1"
"跑","pǎo","travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg","1"
"女人","nǚren","jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women","1"
"朋友","péngyou","amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company","1"
"票","piào","ticket, ballot, note","1"
"七","qī","det.: seven","1"
"起床","qǐ chuáng","uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get_up, awake, get up","1"
"起来","qǐ  lai","[aspect]","1"
"起","qǐ","[aspect]","1"
"汽车","qìchē","automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus","1"
"前","qián","front","1"
"前边","qiánbian","front, the front side, in front of","1"
"钱","qián","copper coin, cash, money, fund, sum","1"
"钱包","qiánbāo","purse, wallet","1"
"请","qǐng","request, ask (a favor), engage, hire (teacher/etc.), Please...","1"
"前天","qiántiān","the day before yesterday","1"
"请假","qǐng jià","vacate, ask for leave","1"
"请问","qǐngwèn","Excuse me, may I ask...?","1"
"请进","qǐngjìn","'please come in'","1"
"请坐","qǐng zuò","Sitting","1"
"球","qiú","ball","1"
"去年","qùnián","last year","1"
"热","rè","hot","1"
"人","rén","person, people","1"
"认识","rènshi","know, recognize","1"
"认真","rènzhēn","serious, earnest, take for real","1"
"去","qù","to go, to leave, in order to","1"
"日","rì","m.[standard]","1"
"日期","rìqī","calendar, when, date","1"
"肉","ròu","pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite","1"
"山","shān","Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount","1"
"商场","shāngchǎng","department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market","1"
"上","shàng","on, above","1"
"三","sān","det.: three","1"
"商店","shāngdiàn","concern, hospital, business, store, shoppe, shop","1"
"上班","shàng bān","start work, go to work, be on duty","1"
"上车","shàngchē","to get on or into (a bus, train, car etc)","1"
"上课","shàng kè","attend class, go to class;give lesson/lecture","1"
"上网","shàng wǎng","to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net","1"
"上边","shàngbian","the top, above, overhead, upwards, the top margin, above-mentioned, those higher up","1"
"上学","shàng xué","attend school, be at school","1"
"上午","shàngwǔ","morning, CL:個|个[ge4]","1"
"少","shǎo","lack, be deficient, lose, be missing","1"
"上次","shàngcì","last time","1"
"身上","shēnshang","on the body, at hand, among","1"
"谁","shéi","who, someone, anyone","1"
"身体","shēntǐ","soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage","1"
"生病","shēng bìng","come down, ail, fall ill, traik, sick, sicken","1"
"生气","shēng qì","get angry, be angry","1"
"十","shí","det.: ten","1"
"时候","shíhou","day, moment, (a point in) time, (duration of) time, time","1"
"时间","shíjiān","moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy","1"
"事","shì","responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter","1"
"试","shì","offer, attempt, essay, flesh, try, seek, assay, test","1"
"生日","shēngri","birthday","1"
"是不是","shìbùshì","is or isn't, yes or no, whether or not","1"
"是","shì","is, are, am, yes, to be, variant of 是[shi4], (used in given names)","1"
"手机","shǒujī","cell phone, mobile phone, CL:部[bu4],支[zhi1]","1"
"手","shǒu","hand","1"
"书包","shūbāo","bag, book bag, satchel, schoolbag","1"
"书","shū","volume, document, style of calligraphy, book, script, letter","1"
"书店","shūdiàn","bookstore","1"
"树","shù","wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito","1"
"水","shuǐ","water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua","1"
"水果","shuǐguǒ","fruit","1"
"睡","shuì","sleep","1"
"说","shuō","speak, talk, explain, scold","1"
"说话","shuō huà","philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say","1"
"睡觉","shuì jiào","turn_in, log Z's, doss, slumber, catch some Z's, go to bed, sleep, doss down, crash, go_to_sleep, hit_the_sack, kip","1"
"送","sòng","accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize","1"
"四","sì","det.: four","1"
"岁","suì","year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops","1"
"他们","tāmen","they","1"
"什么","shénme","anything, what","1"
"她","tā","she, her, she (neologism for {1ta1}[2]), )","1"
"她们","tāmen","they (female)","1"
"天","tiān","m.[standard]","1"
"他","tā","he, she, it, they (referring to inanimate things in object position)","1"
"太","tài","excessively, too, extremely, very","1"
"天气","tiānqì","sky, elements, weather condition, atmospheric condition, weather","1"
"听到","tīngdào","hear","1"
"听见","tīng jian","hear","1"
"听写","tīngxiě","dictate, dictation, CL:次[ci4]","1"
"听","tīng","hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark","1"
"图书馆","túshūguǎn","library","1"
"外","wài","outside, in addition, foreign, external","1"
"外边","wàibian","outside, outer surface, abroad, place other than one's home","1"
"同学","tóngxué","class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student","1"
"外国","wàiguó","foreign, foreign country, outland, outremer","1"
"玩儿","wánr","to play, to have fun, to hang out","1"
"晚","wǎn","far on in time, late","1"
"晚饭","wǎnfàn","evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]","1"
"晚上","wǎnshang","evening, night, CL:個|个[ge4], in the evening","1"
"网上","wǎngshàng","online","1"
"网友","wǎngyǒu","online friend, Internet user","1"
"外语","wàiyǔ","foreign language","1"
"忘记","wàngjì","misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget","1"
"忘","wàng","forget, overlook, neglect","1"
"问","wèn","ask, examine, question, interrogate","1"
"我们","wǒmen","we","1"
"我","wǒ","I, me, ego, self","1"
"五","wǔ","det.: five","1"
"午饭","wǔfàn","lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]","1"
"西","xī","W, Spain, west, occident, due west, western","1"
"西边","xībian","west, west side, western part, to the west of","1"
"洗","xǐ","wash, bathe, sack, develop (film), shuffle (cards/etc.)","1"
"洗手间","xǐshǒujiān","toilet, lavatory, washroom","1"
"喜欢","xǐhuan","like, love, be fond of, be happy/elated","1"
"下","xià","under (condition/fact etc.)","1"
"下班","xià bān","get_off","1"
"下边","xiàbian","under, the underside, below","1"
"下车","xiàchē","get off/out of vehicle","1"
"下次","xiàcì","next time","1"
"下课","xià kè","finish class, get out of class","1"
"下午","xiàwǔ","afternoon, CL:個|个[ge4], p.m.","1"
"下雨","xiàyǔ","rain","1"
"先","xiān","earlier, in advance, before","1"
"先生","xiānsheng","doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen","1"
"想","xiǎng","think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)","1"
"现在","xiànzài","now, at present, at the moment, modern, current, nowadays","1"
"小","xiǎo","small, little, petty, minor;young","1"
"小孩儿","xiǎoháir","child, erhua variant of 小孩[xiao3 hai2]","1"
"小姐","xiǎojiě","Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle","1"
"小时","xiǎoshí","hour","1"
"小朋友","xiǎopéngyǒu","child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child","1"
"小学","xiǎoxué","primary school, elementary school","1"
"小学生","xiǎo xuésheng","(primary) pupil, schoolboy, schoolgirl","1"
"笑","xiào","smile, laugh","1"
"写","xiě","description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose","1"
"谢谢","xièxie","thank","1"
"新","xīn","new, fresh, up-to-date","1"
"新年","xīnnián","New Year, CL:個|个[ge4]","1"
"星期","xīngqī","Sunday, week","1"
"星期日","Xīngqīrì","Sunday, CL:個|个[ge4]","1"
"星期天","xīngqītiān","Sunday, CL:個|个[ge4]","1"
